ID,Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Debt.To.Income.Ratio,Home.Ownership,Monthly.Income,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length
9244,8800,8800,7.51%,36 months,20.73%,MORTGAGE,4833,6,306,4,5 years
33068,7000,7000,7.90%,36 months,20.72%,RENT,6000,9,6659,0,< 1 year
80059,35000,35000,21.98%,60 months,23.81%,MORTGAGE,11500,14,21977,1,2 years
63941,8500,8500,15.80%,36 months,17.40%,RENT,2500,6,6491,1,1 year
10642,15000,15000,10.38%,36 months,16.87%,MORTGAGE,6312,17,14339,2,2 years
60761,11000,11000,6.03%,36 months,12.04%,MORTGAGE,5836.67,12,420,0,< 1 year
46017,3500,3500,15.81%,36 months,13.14%,MORTGAGE,18333.33,8,11107,2,7 years
72670,6000,6000,12.12%,36 months,21.21%,RENT,3333.33,8,4638,0,2 years
73765,5000,5000,16.29%,60 months,11.80%,RENT,5416.67,7,8745,1,4 years
66710,21200,21175,18.49%,36 months,30.62%,RENT,4500,15,17250,0,10+ years
91334,35000,35000,15.31%,36 months,19.59%,MORTGAGE,7500,11,29953,2,1 year
81620,4800,4800,18.75%,60 months,27.69%,RENT,1560,9,6563,0,< 1 year
52405,8500,8500,6.62%,36 months,4.90%,MORTGAGE,4166.67,8,7114,0,10+ years
26369,2650,2650,7.49%,36 months,21.11%,OWN,1482.92,15,1808,2,4 years
83058,8575,8575,15.80%,36 months,34.41%,MORTGAGE,4541.67,15,5180,1,10+ years
9885,5000,5000,14.22%,36 months,18.73%,MORTGAGE,8583,9,8097,1,1 year
85272,13200,13200,15.31%,36 months,8.61%,MORTGAGE,3333.33,10,5400,3,10+ years
83505,10750,10750,14.09%,36 months,26.14%,RENT,2666.67,3,9800,0,8 years
80200,5450,5450,13.11%,36 months,25.91%,RENT,3500,9,7619,0,1 year
88893,10000,10000,13.11%,36 months,3.01%,MORTGAGE,9166.67,5,10079,1,6 years
102595,7500,224.99,13.17%,36 months,1.03%,MORTGAGE,8750,3,3607,4,6 years
46350,2400,2375,8.90%,36 months,11.23%,RENT,2333.33,8,2075,0,4 years
93551,15300,14850,11.14%,36 months,11.31%,MORTGAGE,6833.33,11,7106,2,10+ years
32249,14000,14000,6.03%,36 months,9%,MORTGAGE,8733.33,11,15108,0,6 years
72604,17325,17325,17.27%,60 months,30.24%,RENT,3750,13,31362,1,9 years
37383,5400,5400,16.29%,36 months,20.03%,RENT,2666.67,9,11114,1,1 year
33155,14000,14000,16.77%,36 months,9.67%,MORTGAGE,12083.33,13,28318,0,< 1 year
46059,19125,19125,18.25%,60 months,15.69%,OWN,3333.33,8,7858,0,5 years
2768,18000,13003.66,11.89%,36 months,22.30%,MORTGAGE,6000,16,23518,2,9 years
13767,15000,15000,19.04%,60 months,16.69%,RENT,5250,7,8615,1,2 years
61703,10000,10000,17.77%,36 months,30.40%,OWN,2500,5,8379,0,8 years
63256,19075,19075,18.75%,36 months,15.23%,RENT,5166.67,17,13749,3,10+ years
647,25000,5640.7,10.08%,,10.42%,MORTGAGE,7916.67,23,16386,0,4 years
4750,5600,5592.37,8.59%,36 months,8.34%,MORTGAGE,3250,9,2639,1,5 years
11084,2500,2500,6.76%,36 months,6.99%,MORTGAGE,4750,15,4658,2,4 years
32628,10400,10375,17.58%,60 months,8.93%,RENT,7110.42,8,856,0,10+ years
96514,19750,19750,16.29%,36 months,4.68%,MORTGAGE,8333.33,9,11383,0,< 1 year
34367,15000,15000,11.71%,36 months,20.70%,,5416.67,20,25464,0,4 years
78618,7200,7200,18.75%,36 months,16.21%,RENT,8333.33,8,28916,0,10+ years
54880,16450,16450,15.31%,36 months,11.66%,MORTGAGE,6666.67,8,12697,3,9 years
68413,10000,10000,19.05%,60 months,28.39%,RENT,3726.67,23,10067,2,5 years
70321,11325,11325,12.12%,36 months,8.61%,RENT,2833.33,3,9137,0,10+ years
21203,5000,4900,6.92%,36 months,10.59%,MORTGAGE,7083.33,9,0,3,1 year
71540,10050,10050,14.33%,36 months,16.48%,RENT,2500,7,13337,2,< 1 year
8698,14725,14725,19.41%,36 months,2.14%,OWN,18333.33,11,82265,2,1 year
60192,9000,9000,10.16%,36 months,3.98%,MORTGAGE,6000,6,5659,0,7 years
62403,6000,6000,15.31%,36 months,20.05%,OWN,4891.67,17,10391,2,3 years
33557,7500,7500,7.90%,36 months,11.79%,OWN,2916.67,2,349,0,1 year
80041,24000,24000,14.33%,36 months,25.49%,MORTGAGE,11208.33,23,19428,2,10+ years
14469,20000,19950,11.49%,36 months,8.84%,RENT,7500,11,8848,0,10+ years
14213,16750,16359.69,7.88%,36 months,20.70%,MORTGAGE,3778.67,9,22352,0,10+ years
91173,4325,4325,10.16%,36 months,1.79%,MORTGAGE,11000,9,75,3,n/a
55690,10075,10075,15.81%,60 months,23.80%,MORTGAGE,6583.33,15,13259,1,1 year
12951,4800,4800,16.82%,60 months,14.84%,RENT,4008.33,18,8828,0,8 years
2891,10800,10550,8.00%,36 months,6.82%,MORTGAGE,11250,7,10232,2,< 1 year
24464,35000,24868.47,17.99%,60 months,6.39%,MORTGAGE,14000,7,3936,0,10+ years
47998,9000,9000,6.62%,36 months,16.14%,RENT,3333.33,10,8689,0,6 years
30184,,8400,5.99%,36 months,8.70%,OWN,3000,6,6215,0,2 years
75793,7000,7000,12.12%,36 months,12.49%,RENT,5166.67,12,10513,0,6 years
56674,8400,8400,13.67%,36 months,17%,RENT,4583.33,14,20318,2,5 years
41282,12000,12000,7.90%,36 months,13.18%,OWN,5833.33,8,9866,0,4 years
55924,23500,23500,19.22%,36 months,20.37%,RENT,6800,17,31812,3,2 years
84283,10000,10000,15.31%,36 months,27.71%,RENT,3750,19,19385,1,3 years
101158,15000,15000,16.29%,36 months,10.67%,RENT,5000,14,13611,0,4 years
38741,6200,6200,18.64%,60 months,10.61%,MORTGAGE,4250,9,5936,3,9 years
20799,16000,15975,13.43%,60 months,6.80%,MORTGAGE,5000,10,1132,2,< 1 year
3414,8800,8350,9.63%,36 months,4.89%,MORTGAGE,5479,5,6055,0,6 years
102270,20000,13000,11.97%,36 months,18.96%,MORTGAGE,7501,17,,7,1 year
60439,10000,10000,13.11%,36 months,7.23%,MORTGAGE,3333.33,6,10793,2,1 year
13020,20000,19950,10.75%,36 months,11.37%,RENT,8416.67,10,12283,0,3 years
72919,2875,2875,18.49%,36 months,14.11%,RENT,1084,3,3824,0,n/a
103835,5500,5450,18.67%,60 months,17.71%,RENT,1750,6,4492,6,2 years
85172,4000,4000,6.03%,36 months,13.03%,RENT,2916.67,7,2860,0,5 years
77251,16000,16000,14.09%,36 months,2.85%,MORTGAGE,3333.33,6,3909,0,7 years
76916,27825,27825,23.76%,60 months,12.86%,RENT,6250,16,27093,1,4 years
41828,12250,12250,19.03%,60 months,23.18%,MORTGAGE,6550,15,22493,0,3 years
20782,16800,16800,16.40%,36 months,7.02%,MORTGAGE,6666.67,8,16211,1,< 1 year
98493,18775,18775,10.16%,36 months,25.33%,MORTGAGE,5850,20,27573,0,3 years
7167,8000,7850,15.33%,36 months,16.04%,MORTGAGE,6416.67,8,25573,3,6 years
38073,5000,5000,14.27%,36 months,17%,OWN,5000,9,14748,3,1 year
104101,9500,6500,6.54%,36 months,14.43%,MORTGAGE,7500,13,100233,0,10+ years
83841,8000,8000,12.12%,36 months,24.98%,RENT,3166.67,10,5428,0,10+ years
1973,15000,7100,11.89%,36 months,12.42%,MORTGAGE,5000,15,31563,3,< 1 year
93403,11000,11000,7.62%,36 months,12.35%,OWN,7666.67,6,12461,1,7 years
3112,9000,5975,14.11%,36 months,8.21%,MORTGAGE,4167,7,19696,1,3 years
29283,12000,12000,11.49%,36 months,12.85%,RENT,2708.33,8,12150,1,< 1 year
29410,5600,5575,7.49%,36 months,24.74%,RENT,2583,6,2454,1,2 years
43053,16350,16350,7.90%,36 months,25.03%,OWN,4541.67,7,,0,9 years
27048,23000,22975,11.99%,36 months,20.81%,MORTGAGE,7000,10,21598,3,10+ years
45941,3000,3000,9.76%,36 months,21.82%,OWN,1100,4,2413,0,n/a
47764,8000,8000,8.90%,36 months,2.93%,RENT,5000,8,5540,0,2 years
45427,18000,17994.17,13.99%,60 months,2.13%,MORTGAGE,4364.58,9,1721,3,3 years
62900,6000,6000,6.03%,36 months,5.65%,MORTGAGE,7083.33,15,5747,0,4 years
73978,7000,7000,14.33%,36 months,5.46%,RENT,3333.33,4,8889,1,2 years
96780,6000,6000,15.80%,36 months,19.56%,OWN,1666.67,7,5291,0,< 1 year
30070,10000,10000,5.42%,36 months,1.69%,MORTGAGE,8000,6,8974,0,3 years
29858,5075,5050,5.99%,36 months,20.10%,MORTGAGE,5000,9,269,3,3 years
26457,14000,12225,11.99%,60 months,14.01%,MORTGAGE,4583.33,9,3539,0,3 years
13181,25000,20737.86,13.98%,60 months,8.91%,RENT,10833.33,11,35046,2,< 1 year
65055,18650,18650,20.49%,36 months,20.07%,MORTGAGE,4833.33,12,17740,0,10+ years
84897,35000,35000,20.49%,36 months,20.82%,MORTGAGE,12333.33,23,36870,0,10+ years
14831,10000,10000,11.86%,36 months,11.15%,OWN,13333,12,36672,2,1 year
6128,10000,9850,15.31%,36 months,18.60%,RENT,2500,8,9092,1,< 1 year
4909,6200,6100,8.59%,36 months,19.10%,RENT,5000,17,9367,0,1 year
77887,7000,7000,8.90%,36 months,14.69%,MORTGAGE,5416.67,14,15272,1,3 years
7002,15000,14900,14.61%,36 months,9.17%,RENT,3000,8,0,2,< 1 year
59271,7575,7575,9.76%,36 months,10.99%,RENT,2375,3,5640,0,3 years
5724,3000,3000,8.94%,36 months,13.42%,RENT,4500,9,2541,2,< 1 year
60151,30000,24800,10.16%,36 months,2.21%,MORTGAGE,9583.33,7,4454,3,10+ years
53424,18000,18000,12.12%,60 months,14.89%,MORTGAGE,8333.33,7,4038,0,5 years
34650,15350,15325,13.49%,60 months,28.63%,MORTGAGE,3200,6,9946,1,10+ years
96988,10000,10000,13.11%,36 months,7.56%,RENT,2500,8,10906,0,7 years
87513,27925,27925,22.47%,60 months,3.94%,MORTGAGE,7000,14,9914,2,n/a
45047,6000,6000,7.90%,36 months,10.75%,MORTGAGE,2883.33,8,4813,0,4 years
23575,7200,7200,6.92%,36 months,11.72%,MORTGAGE,7083.33,6,15933,1,3 years
2164,10000,6301.07,14.11%,36 months,16.52%,OTHER,4583,16,18707,1,3 years
3591,12250,2200,15.05%,36 months,23.80%,MORTGAGE,7416.67,13,19136,1,8 years
20785,20000,20000,14.91%,36 months,19.43%,MORTGAGE,6250,12,14308,1,5 years
65776,15000,15000,17.77%,36 months,18.24%,MORTGAGE,6000,16,14513,2,10+ years
41200,28000,27975,21.67%,60 months,13.07%,MORTGAGE,14166.67,12,10311,0,1 year
66429,18000,17975,22.47%,60 months,1.92%,RENT,4583.33,6,4243,3,7 years
71481,10000,9925,18.49%,36 months,13.37%,MORTGAGE,11250,13,16740,2,10+ years
32985,10000,10000,14.27%,36 months,10.97%,RENT,7500,6,7778,0,7 years
49619,16000,16000,18.55%,36 months,23.88%,RENT,5653.67,12,16223,0,5 years
12150,6500,6500,7.51%,36 months,1.50%,MORTGAGE,3208.33,5,269,0,10+ years
54131,28625,28625,13.11%,60 months,21.31%,MORTGAGE,4833.33,9,35863,0,5 years
39492,10000,10000,11.71%,36 months,8.69%,RENT,2750,6,6621,0,3 years
94232,2000,2000,17.27%,36 months,20.51%,MORTGAGE,3750,10,1371,1,7 years
